=== Stock Screener — 2026-05-13 14:00 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2763 stocks with market cap > $1B
  Top 5 by daily gain: WOLF(+28.5%), VNET(+24.0%), EOSE(+20.7%), TSEM(+20.5%), SLS(+20.0%)
Screening 2763 stocks (this may take 15-20 min)...

  Progress: 200/2763 (117 passed, 0 errors)
  Progress: 400/2763 (197 passed, 0 errors)
  Progress: 600/2763 (264 passed, 0 errors)
  Progress: 800/2763 (269 passed, 179 errors)
  Progress: 1000/2763 (269 passed, 379 errors)
  Progress: 1200/2763 (269 passed, 579 errors)
  Progress: 1400/2763 (269 passed, 779 errors)
  Progress: 1600/2763 (269 passed, 979 errors)
  Progress: 1800/2763 (269 passed, 1179 errors)
  Progress: 2000/2763 (269 passed, 1379 errors)
  Progress: 2200/2763 (269 passed, 1579 errors)
  Progress: 2400/2763 (269 passed, 1779 errors)
  Progress: 2600/2763 (269 passed, 1979 errors)
  Progress: 2763/2763 (269 passed, 2142 errors)

  Retrying 2142 tickers that errored...
  After retry: 269 total passed

================================================================================
  269 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%   Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     VNET    11.71  29.82   29.97       3.3              Technology           Information Technology Services       26.75  76.4  Bull       0.26   29.97       4.07     100.0    4.54
2     EOSE     8.98  10.86   37.31       3.0             Industrials              Electrical Equipment & Parts       21.80  66.4  Bull       0.23   26.83       2.14      89.7     NaN
3     MIRM   114.60   7.22    4.11       7.0              Healthcare                             Biotechnology       17.60  69.8  Bull       1.39   18.88       2.77      85.7    4.73
4     WOLF    64.03  19.19   48.63       3.1              Technology                            Semiconductors      117.68  87.7  Bull       2.77  167.91       1.22      85.2    2.50
5     MRAM    45.87   4.23  112.76       1.1              Technology                            Semiconductors      171.46  91.5  Bull       3.13  288.40       1.15      84.6    4.50
6      SLS     6.18  18.33   19.94       1.1              Healthcare                             Biotechnology       28.11  69.3  Bull       0.10   25.80       1.62      84.3     NaN
7      NXT   145.72  16.23   15.58      21.9              Technology                                     Solar       23.98  69.3  Bull       2.04   32.33       1.10      84.2     NaN
8     PENG    50.58  14.62   29.73       2.6              Technology           Information Technology Services       78.73  89.9  Bull       1.57   90.87       0.79      81.5    4.43
9     AMBQ    66.43   0.09   60.65       1.4              Technology                            Semiconductors       84.93  88.0  Bull       2.79  110.22       0.73      81.0    4.00
10     VSH    36.87   9.63    9.86       5.0              Technology                            Semiconductors       45.82  80.2  Bull       0.42   55.18       0.59      80.0    3.33
11     ICL     6.82   6.90   21.35       8.8         Basic Materials                       Agricultural Inputs       23.53  79.7  Bull       0.14   27.95       0.74      79.1     NaN
12    HIMX    20.40   6.75   65.45       3.6              Technology                            Semiconductors       76.57  78.1  Bull       0.88  100.39       0.42      78.5    4.33
13    AAOI   204.00   8.35   14.26      16.3              Technology                   Communication Equipment       52.42  65.5  Bull       1.47   43.11       0.42      78.5    3.67
14      MU   794.59   3.65   19.20     897.1              Technology                            Semiconductors       56.36  80.9  Bull      25.19   74.16       0.34      77.9    4.52
15    LUNR    33.79   5.30   28.33       5.4             Industrials                       Aerospace & Defense       41.00  69.4  Bull       0.60   41.50       0.32      77.7    4.44
16    RKLB   118.22   0.56   39.66      68.7             Industrials                       Aerospace & Defense       45.48  73.7  Bull       3.98   60.63       0.29      77.4    4.35
17     BAK     5.16   7.71   33.66       2.1         Basic Materials                                 Chemicals       34.14  75.2  Bull       0.15   39.44       0.28      77.3    3.00
18    QCOM   209.30  -0.48    8.69     220.4              Technology                            Semiconductors       31.74  68.0  Bull       5.36   57.31       0.27      77.2    3.39
19    SMTC   138.09   4.55   15.86      12.8              Technology                            Semiconductors       38.02  74.7  Bull       2.75   48.05       0.25      77.1     NaN
