=== Stock Screener — 2026-05-19 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2740 stocks with market cap > $1B
  Top 5 by daily gain: RAMP(+27.3%), TE(+23.5%), GENI(+22.2%), BRC(+19.0%), AVEX(+14.9%)
Screening 2740 stocks (this may take 15-20 min)...

  Progress: 200/2740 (92 passed, 0 errors)
  Progress: 400/2740 (165 passed, 0 errors)
  Progress: 600/2740 (234 passed, 0 errors)
  Progress: 800/2740 (261 passed, 122 errors)
  Progress: 1000/2740 (261 passed, 322 errors)
  Progress: 1200/2740 (261 passed, 522 errors)
  Progress: 1400/2740 (261 passed, 722 errors)
  Progress: 1600/2740 (261 passed, 922 errors)
  Progress: 1800/2740 (261 passed, 1122 errors)
  Progress: 2000/2740 (261 passed, 1322 errors)
  Progress: 2200/2740 (261 passed, 1522 errors)
  Progress: 2400/2740 (261 passed, 1722 errors)
  Progress: 2600/2740 (261 passed, 1922 errors)
  Progress: 2740/2740 (261 passed, 2062 errors)

  Retrying 2062 tickers that errored...
  After retry: 261 total passed

================================================================================
  261 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                             Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     AGYS    89.45  27.42  29.19       2.5              Technology               Software - Application       23.91  74.9  Bull       1.52   31.68       1.75      89.6     NaN
2     RAMP    37.78   0.04  31.75       2.3              Technology            Software - Infrastructure       30.02  79.6  Bull       0.71   29.49       0.53      78.9    4.00
3      VPG    95.44  -9.29  11.53       1.3              Technology   Scientific & Technical Instruments       53.02  72.1  Bull       3.46   75.38       0.39      78.3    5.00
4      BAK     4.88  -2.79   1.88       1.9         Basic Materials                            Chemicals       21.91  67.9  Bull       0.14   34.07       0.26      77.2    3.00
5     CRWD   625.05   1.01  14.44     159.1              Technology            Software - Infrastructure       31.91  85.3  Bull      13.08   39.02       0.21      76.8    4.35
6      FIG    25.58   5.00  32.33      13.5              Technology               Software - Application       17.92  70.2  Bull       0.84   36.64       0.33      76.7    3.42
7      PBT    30.67   3.30   9.30       1.4                  Energy                  Oil & Gas Midstream       32.14  78.2  Bull       0.71   40.48       0.20      76.7     NaN
8     STUB     9.83   5.36  34.29       3.7  Communication Services       Internet Content & Information       23.62  78.0  Bull       0.25   36.15       0.19      76.6    3.86
9     RKLB   122.43  -6.66   4.14      70.9             Industrials                  Aerospace & Defense       38.65  65.6  Bull       3.58   41.31       0.16      76.3    4.35
10    PANW   244.99  -1.04  13.63     198.7              Technology            Software - Infrastructure       30.12  83.8  Bull       5.42   40.02       0.13      76.1    4.36
11    PGNY    24.53   2.02   4.63       1.9              Healthcare                     Healthcare Plans       22.41  75.4  Bull       0.45   36.15       0.14      76.1    4.60
12     MDB   342.76   3.87  11.02      27.5              Technology            Software - Infrastructure       20.33  76.1  Bull       6.87   31.11       0.13      76.1    4.36
13     SLS     7.30   0.21  39.94       1.4              Healthcare                        Biotechnology       40.58  73.4  Bull       0.26   45.23       0.11      75.9    4.50
14     PCT    12.26  -4.44  25.61       2.2             Industrials       Pollution & Treatment Controls       49.16  79.2  Bull       0.44   83.26       0.11      75.9    4.00
15    FTNT   125.32  -0.93  10.06      91.8              Technology            Software - Infrastructure       33.25  84.0  Bull       2.90   46.99       0.10      75.8    3.30
16      TE     6.51  -7.07  11.20       1.8             Industrials         Electrical Equipment & Parts       13.21  60.3  Bull       0.17   27.80       0.75      75.7    4.80
17    PTRN    17.76   1.08   7.44       3.5              Technology               Software - Application       26.48  73.0  Bull       0.23   30.97       0.09      75.7    4.80
18    OSCR    24.56  -2.92   3.50       7.4              Healthcare                     Healthcare Plans       38.30  78.7  Bull       0.37   51.89       0.07      75.6    2.91
19    FROG    68.58   0.99   1.52       8.3              Technology               Software - Application       29.26  72.4  Bull       1.13   48.76       0.05      75.4    4.67
20     NBR   110.44  -0.17   8.31       1.6                  Energy                   Oil & Gas Drilling       21.89  71.3  Bull       0.63   33.35       0.05      75.4    3.12
21     AGL    84.71  -2.41  21.81       1.4              Healthcare              Medical Care Facilities      130.91  82.9  Bull       4.47  246.04       0.03      75.3    3.29
22    XMTR    84.82  -3.57   1.07       4.5             Industrials              Industrial Distribution       43.76  74.9  Bull       2.18   80.78       0.03      75.3    4.11
23    BAND    56.07   0.21  13.41       1.8              Technology            Software - Infrastructure       75.44  92.4  Bull       0.78  136.18       0.03      75.2    4.20
