=== Stock Screener — 2026-05-21 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2743 stocks with market cap > $1B
  Top 5 by daily gain: IMVT(+33.9%), TE(+29.9%), XNDU(+23.8%), HIVE(+19.3%), NVTS(+16.3%)
Screening 2743 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2443

  === Priority Tier ===
  Priority: 300/300 (78 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2443 (138 total passed)
  Remaining: 600/2443 (157 total passed)
  Remaining: 900/2443 (157 total passed)
  Remaining: 1200/2443 (157 total passed)
  Remaining: 1500/2443 (157 total passed)
  Remaining: 1800/2443 (157 total passed)
  Remaining: 2100/2443 (157 total passed)
  Remaining: 2400/2443 (157 total passed)
  Remaining: 2443/2443 (157 total passed)

  Final: 157 stocks passed all filters

================================================================================
  157 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     PURR     8.35   2.83  16.95       1.0      Financial Services                           Capital Markets       36.00  71.4  Bull       0.16   39.87       0.53      79.4    4.67
2      ARM   280.89   9.41  22.93     299.1              Technology                            Semiconductors       49.40  73.0  Bull       3.23   37.28       0.41      78.4    4.12
3       TE     8.60  -1.09  50.17       2.4             Industrials              Electrical Equipment & Parts       43.85  75.6  Bull       0.36   59.65       0.41      78.4    4.80
4      SLS     8.62  -3.95  16.12       1.6              Healthcare                             Biotechnology       57.14  76.2  Bull       0.36   85.69       0.25      77.1    4.50
5     ENPH    56.03   5.43  16.72       7.4              Technology                                     Solar       40.71  73.1  Bull       2.04   54.96       0.23      76.9    3.39
6     ALAB   288.94   0.51  26.37      49.6              Technology                            Semiconductors       53.99  76.5  Bull       5.93   46.27       0.20      76.6    4.19
7      VSH    41.55   3.46   9.37       5.7              Technology                            Semiconductors       47.52  81.2  Bull       0.38   52.03       0.15      76.3    3.33
8     CMBT    17.63   2.14  18.32       5.1                  Energy                       Oil & Gas Midstream       26.46  83.8  Bull       0.27   36.99       0.16      76.3    4.25
9     BLDP     4.81   1.05  16.46       1.5             Industrials              Electrical Equipment & Parts       39.79  69.0  Bull       0.02   42.31       0.14      76.2    3.08
10    SMTC   146.68   3.40   3.91      13.6              Technology                            Semiconductors       35.26  72.9  Bull       1.24   39.24       0.13      76.1    4.79
11    CRWD   655.33   0.80  13.00     166.8              Technology                 Software - Infrastructure       34.54  86.9  Bull      13.31   47.14       0.10      75.8    4.35
12     LPG    47.67  -0.10  19.60       2.0                  Energy                       Oil & Gas Midstream       28.90  87.0  Bull       0.76   33.45       0.10      75.8    4.40
13      SG     8.71  -3.33  26.42       1.0       Consumer Cyclical                               Restaurants       28.64  70.9  Bull       0.19   31.17       0.08      75.7    3.25
14    BAND    57.62  -0.59  10.60       1.8              Technology                 Software - Infrastructure       70.13  85.3  Bull       0.44  151.07       0.08      75.7    4.20
15    INOD    94.03  -0.72   4.30       3.1              Technology           Information Technology Services       56.21  70.0  Bull       2.32  116.26       0.08      75.6    4.75
16    AMBQ    75.18  -1.87   2.56       1.6              Technology                            Semiconductors       70.88  82.8  Bull       2.48  114.30       0.06      75.5    4.00
17    VCYT    44.17  -2.27  13.53       3.5              Healthcare                    Diagnostics & Research       20.50  70.0  Bull       0.67   33.23       0.04      75.4    4.36
18    STUB    10.00   0.00  16.96       3.8  Communication Services            Internet Content & Information       23.48  79.1  Bull       0.27   43.27       0.04      75.4    4.00
19    PGNY    25.06  -2.26   9.58       2.0              Healthcare                          Healthcare Plans       22.50  73.3  Bull       0.42   41.82       0.03      75.3    4.64
20    IART    14.78  -3.93   1.97       1.2              Healthcare                           Medical Devices       23.28  66.2  Bull       0.12   43.27       0.03      75.2    2.90
21    ACMR    69.74  -2.60  10.36       4.8              Technology       Semiconductor Equipment & Materials       26.37  70.5  Bull       1.02   29.17       0.09      75.0    4.50
22      GH   113.29  -1.47  14.82      15.0              Healthcare                    Diagnostics & Research       20.24  72.3  Bull       2.07   28.92       0.08      74.5    4.64
23    CLSK    15.58   1.17  11.44       4.0      Financial Services                           Capital Markets       27.44  67.9  Bull       0.10   27.39       0.12      73.4    4.75
24    SEDG    59.98   6.69  19.39       3.6              Technology                                     Solar       33.45  65.7  Bull       1.81   26.65       0.12      72.6    2.81
25    VOYG    38.18  -4.38   5.38       2.3             Industrials                       Aerospace & Defense       26.65  64.7  Bull       1.11   26.76       0.08      72.4    4.30
26    NVTS    23.32   1.44   4.48       5.5              Technology                            Semiconductors       52.34  64.5  Bull       0.16   25.99       0.13      72.1    3.12
27      IX    38.92   0.75   5.22      42.8      Financial Services                   Financial Conglomerates       16.19  74.1  Bull       0.34   28.03       0.05      71.5    3.00
28     CYD    53.06  -1.12   4.00       2.0       Consumer Cyclical                        Auto Manufacturers       18.42  72.8  Bull       0.85   26.73       0.05      71.3    4.50
29    BWLP    22.86   1.11  10.54       3.5                  Energy                       Oil & Gas Midstream       20.92  82.1  Bull       0.16   24.04       0.21      70.8     NaN
