=== Stock Screener — 2026-06-03 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2769 stocks with market cap > $1B
  Top 5 by daily gain: LILPV(+119.2%), VSXY(+47.4%), LEGN(+42.2%), MRVL(+32.5%), OCTV(+25.4%)
Screening 2769 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2469

  === Priority Tier ===
  Priority: 300/300 (202 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2469 (330 total passed)
  Remaining: 600/2469 (330 total passed)
  Remaining: 900/2469 (330 total passed)
  Remaining: 1200/2469 (330 total passed)
  Remaining: 1500/2469 (330 total passed)
  Remaining: 1800/2469 (330 total passed)
  Remaining: 2100/2469 (330 total passed)
  Remaining: 2400/2469 (330 total passed)
  Remaining: 2469/2469 (330 total passed)

  Final: 330 stocks passed all filters

================================================================================
  330 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%   Week%  MCap($B)                  Sector                                 Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     NVTS    31.93  23.49   10.58       7.6              Technology                           Semiconductors       68.69  67.6  Bull       0.21   81.97       0.85      82.1     NaN
2     MRVL   302.99   4.19   52.48     265.1              Technology                           Semiconductors       80.76  87.0  Bull       9.74   79.55       0.83      81.9    4.59
3       BB     9.99  -3.20   15.22       5.9              Technology                Software - Infrastructure       61.65  85.3  Bull       0.29   78.39       0.46      78.8    3.00
4     VSXY    75.25  -6.01   31.60       6.0       Consumer Cyclical                           Apparel Retail       41.68  72.0  Bull       2.91   48.25       0.37      78.1     NaN
5      HPE    53.53  -4.67   43.90      70.9              Technology                  Communication Equipment       64.81  82.5  Bull       1.98   78.20       0.26      77.1    3.74
6     CEVA    48.76  -1.70   20.26       1.4              Technology                           Semiconductors       49.15  77.3  Bull       0.62   44.62       0.21      76.8     NaN
7      IBM   307.69  -6.54   20.57     289.2              Technology          Information Technology Services       22.52  71.2  Bull      10.29   35.33       0.21      76.7    4.00
8     INFQ    17.95  -9.66   16.11       3.9              Technology                Software - Infrastructure       28.80  60.4  Bull       0.56   48.35       0.21      76.7    5.00
9       TE    12.06   0.12    9.99       3.4             Industrials             Electrical Equipment & Parts       65.07  79.1  Bull       0.43  125.75       0.19      76.6    4.80
10    UMAC    29.61 -11.40   57.25       1.4              Technology                        Computer Hardware       66.19  67.4  Bull       1.77  117.88       0.20      76.6    4.67
11    RGTI    25.00  -6.99    1.54       8.3              Technology                        Computer Hardware       25.47  60.1  Bull       0.49   36.84       0.16      76.4     NaN
12     STM    79.24  -0.34   16.96      70.4              Technology                           Semiconductors       43.89  80.2  Bull       0.75   38.58       0.16      76.4    3.80
13    SMCI    47.95  -4.42   25.56      28.8              Technology                        Computer Hardware       43.74  75.5  Bull       1.54   72.30       0.16      76.3    3.17
14     VSH    61.99  -0.80   26.77       8.4              Technology                           Semiconductors       75.23  88.0  Bull       1.77   93.18       0.14      76.2    3.33
15    LEGN    36.79   1.42   29.11       6.8              Healthcare                            Biotechnology       43.95  73.0  Bull       0.51   29.06       0.26      76.2    4.40
16    FLNC    26.14  -6.34   23.19       4.8               Utilities                    Utilities - Renewable       39.64  64.4  Bull       0.55  105.99       0.15      76.2    3.25
