=== Stock Screener — 2026-06-08 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2740 stocks with market cap > $1B
  Top 5 by daily gain: COO(+8.6%), GSHD(+7.1%), ABM(+6.7%), FDXF(+6.4%), KMB(+6.3%)
Screening 2740 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2440

  === Priority Tier ===
  Priority: 300/300 (125 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2440 (171 total passed)
  Remaining: 600/2440 (171 total passed)
  Remaining: 900/2440 (171 total passed)
  Remaining: 1200/2440 (171 total passed)
  Remaining: 1500/2440 (171 total passed)
  Remaining: 1800/2440 (171 total passed)
  Remaining: 2100/2440 (171 total passed)
  Remaining: 2400/2440 (171 total passed)
  Remaining: 2440/2440 (171 total passed)

  Final: 171 stocks passed all filters

================================================================================
  171 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     ARCB   158.90   2.65  12.86       3.5             Industrials                                  Trucking       29.41  83.5  Bull       2.64   31.35       0.14      76.1    3.92
2     VSXY    77.25   5.66  42.27       6.1       Consumer Cyclical                            Apparel Retail       38.51  71.2  Bull       2.75   60.80       0.09      75.8    3.80
3      HAE    71.39   0.15   6.20       3.2              Healthcare                           Medical Devices       14.62  72.9  Bull       0.88   29.51       0.02      72.0    4.09
4      VVX    86.23   0.27   3.06       2.7             Industrials                       Aerospace & Defense       17.13  77.7  Bull       0.90   23.05       0.02      66.8    3.83
5      WMK    78.66   0.56   7.80       1.9      Consumer Defensive                            Grocery Stores       10.55  71.3  Bull       0.44   11.80       1.21      62.1     NaN
6      SEB  5483.38   2.90   5.55       5.3             Industrials                             Conglomerates        5.58  63.6  Bull      84.23   20.83       0.05      59.0     NaN
7     ULCC     5.99   1.72   1.04       1.4             Industrials                                  Airlines       23.60  66.9  Bull       0.04   13.26       0.04      58.6    2.75
8      CNK    31.53   3.77   1.61       3.7  Communication Services                             Entertainment       12.18  68.9  Bull       0.55   16.91       0.03      58.3     NaN
9      AMN    32.38   4.23  10.38       1.3              Healthcare                   Medical Care Facilities       28.73  73.5  Bull       0.17   11.79       0.06      57.3    3.44
10    ARGX   891.36   0.27   6.61      55.7              Healthcare                             Biotechnology       10.50  67.8  Bull       6.86   13.96       0.28      56.5    4.50
11    GIII    35.58  10.61  10.46       1.5       Consumer Cyclical                     Apparel Manufacturing       15.33  72.1  Bull       0.37   11.99       0.23      56.5    4.33
12       H   191.90  -0.56   4.49      18.1       Consumer Cyclical                                   Lodging       12.53  70.6  Bull       1.20   14.59       0.05      56.3    4.04
13     HRL    23.49  -1.09   0.60      12.9      Consumer Defensive                            Packaged Foods        7.31  67.6  Bull       0.26   14.92       0.02      53.7    3.40
14    UHAL    58.78   2.14   3.74      11.2             Industrials                 Rental & Leasing Services       12.10  67.2  Bull       0.56   11.28       0.02      52.5    3.00
15    UNFI    56.79   2.38   9.04       3.5      Consumer Defensive                         Food Distribution       15.60  73.2  Bull       0.36    8.54       0.08      52.0     NaN
16    AXTA    32.36   0.56   6.48       6.9         Basic Materials                       Specialty Chemicals        9.70  70.3  Bull       0.33   11.09       0.05      51.3    3.73
17     CAH   205.33  -1.01   5.22      48.1              Healthcare                      Medical Distribution        1.86  60.6  Bull       1.34   11.81       0.07      48.3    4.53
18    CAKE    66.58  -0.62   1.07       3.3       Consumer Cyclical                               Restaurants        8.39  63.6  Bull       0.35    8.54       0.04      48.1     NaN
19      DK    49.00   1.20   6.61       3.0                  Energy            Oil & Gas Refining & Marketing       11.92  65.2  Bull       0.41    6.43       0.08      48.0    3.62
