=== Stock Screener — 2026-06-09 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2741 stocks with market cap > $1B
  Top 5 by daily gain: TNGX(+53.0%), ENHA(+39.8%), GLXY(+21.4%), ALVO(+19.8%), CBRS(+18.3%)
Screening 2741 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2441

  === Priority Tier ===
  Priority: 300/300 (131 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2441 (178 total passed)
  Remaining: 600/2441 (178 total passed)
  Remaining: 900/2441 (178 total passed)
  Remaining: 1200/2441 (178 total passed)
  Remaining: 1500/2441 (178 total passed)
  Remaining: 1800/2441 (178 total passed)
  Remaining: 2100/2441 (178 total passed)
  Remaining: 2400/2441 (178 total passed)
  Remaining: 2441/2441 (178 total passed)

  Final: 178 stocks passed all filters

================================================================================
  178 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     TNGX    30.71  -0.41  42.84       4.5              Healthcare                             Biotechnology       40.01  68.9  Bull       0.96   30.79       0.19      76.6    4.50
2     GENI     6.99   6.15  14.78       1.9  Communication Services            Internet Content & Information       30.66  72.6  Bull       0.14   58.50       0.17      76.4    4.67
3     ARCB   170.10   1.86  19.92       3.8             Industrials                                  Trucking       36.16  86.9  Bull       3.67   43.77       0.14      76.2    3.92
4     APPS    10.09   6.80  18.01       1.2              Technology                    Software - Application       81.91  82.1  Bull       0.32  152.88       0.13      76.1    5.00
5      HAE    77.55   4.50  16.84       3.5              Healthcare                           Medical Devices       23.07  79.9  Bull       1.32   48.45       0.05      75.5    4.09
6      RXO    29.17   2.35   8.24       4.8             Industrials                                  Trucking       35.83  74.9  Bull       0.26   40.92       0.04      75.4     NaN
7      KNX    81.57  -0.62   5.36      13.3             Industrials                                  Trucking       19.88  80.1  Bull       0.63   32.08       0.05      75.4    4.33
8     BTDR    19.03   4.10   1.44       4.6              Technology                    Software - Application       34.39  65.0  Bull       0.16   44.50       0.03      75.3     NaN
9     SNDR    38.79  -0.80   6.60       6.8             Industrials                                  Trucking       20.50  80.4  Bull       0.31   29.99       0.04      75.3    3.69
10    CVLG    45.00   1.06   7.55       1.1             Industrials                                  Trucking       27.70  88.3  Bull       0.48   38.26       0.03      75.2     NaN
11    ALNT    88.84   2.60   4.00       1.5              Technology                     Electronic Components       22.62  69.9  Bull       1.90   35.76       0.02      75.1    4.40
