Ticker,Price,Day%,Week%,MCap($B),Sector,Below EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Short%,EPS Miss,Bearish
COIN,161.73,0.02,-7.05,42.6,Financial Services,-13.01,32.0,Bear,-3.03,-25.33,0.16,11.7,Y,77.1
LCID,5.29,2.92,-14.26,2.1,Consumer Cyclical,-22.99,44.3,Bear,-0.03,-12.27,0.22,37.9,Y,71.8
ZS,127.37,-1.43,-11.64,20.6,Technology,-14.03,32.3,Bear,-3.93,-14.44,0.1,10.6,,61.7
BNTX,86.57,1.25,-2.89,21.9,Healthcare,-7.78,47.2,Bear,-0.4,-7.26,0.21,3.6,Y,49.8
T,22.51,-0.16,-8.62,156.4,Communication Services,-10.53,14.7,Bear,-0.2,-9.47,0.15,1.6,,48.9
RBLX,44.03,2.67,-2.14,31.5,Communication Services,-12.07,48.6,Bull,0.13,6.6,0.21,3.9,,42.5
NFLX,82.01,-0.59,-1.58,345.3,Communication Services,-7.68,19.4,Bear,-0.27,-4.03,0.16,2.3,Y,41.4
RUN,13.21,-1.34,-13.38,3.2,Technology,-6.68,50.3,Bear,-0.25,-8.71,0.17,29.9,,40.4
NIO,5.41,-0.64,-9.9,13.6,Consumer Cyclical,-6.63,43.6,Bear,-0.02,-10.79,0.12,7.2,,38.4
PYPL,42.17,2.38,-4.98,37.2,Financial Services,-7.19,40.4,Bear,-0.18,-6.11,0.2,5.5,,36.1
TMUS,179.23,0.13,-5.09,194.0,Communication Services,-6.21,23.0,Bear,-0.87,-5.58,0.1,3.8,,34.6
LULU,120.48,2.83,-4.74,13.7,Consumer Cyclical,-12.55,51.7,Bull,0.09,-4.64,0.21,5.8,,34.6
UBER,70.97,0.98,-0.91,144.5,Technology,-3.55,40.0,Bear,-0.16,-6.8,0.16,3.0,Y,33.5
NEE,84.36,0.31,-0.82,175.9,Utilities,-5.54,34.5,Bear,-0.23,-10.4,0.09,0.0,,32.9
GILD,125.25,-2.15,-1.82,155.5,Healthcare,-5.99,37.9,Bear,-0.49,-6.19,0.2,1.9,,32.8
SHOP,114.73,3.65,-1.95,148.9,Technology,-0.3,62.9,Bull,0.99,11.89,0.17,1.8,,31.6
XPEV,15.59,-1.76,-12.86,14.9,Consumer Cyclical,-6.46,55.9,Bear,-0.02,-3.47,0.16,6.5,Y,31.4
AVGO,394.87,-0.34,-18.0,1869.7,Technology,-2.27,45.7,Bear,-6.85,-7.83,0.2,1.1,,30.7
VZ,45.0,-1.1,-6.0,187.9,Communication Services,-4.35,25.8,Bear,-0.33,-4.72,0.14,2.1,,30.5
AMZN,247.75,1.12,-3.42,2665.1,Consumer Cyclical,-1.75,40.3,Bear,-3.44,-7.9,0.15,1.1,,29.4
BLK,1005.89,1.5,-0.73,163.8,Financial Services,-2.66,43.6,Bear,-7.38,-6.45,0.11,1.4,,29.1
PLTR,134.41,-1.05,-11.67,322.2,Technology,-5.37,49.3,Bear,-0.66,-1.81,0.15,3.3,,28.7
CMCSA,23.72,-0.19,-4.57,84.7,Communication Services,-9.33,34.0,Bear,-0.02,-5.25,0.11,2.7,,28.5
SOFI,16.79,2.25,-5.36,21.5,Financial Services,-1.92,60.1,Bull,0.05,3.26,0.17,13.7,Y,28.5
DIS,99.84,0.78,-1.55,173.4,Communication Services,-2.56,40.7,Bear,-0.52,-4.66,0.16,1.5,,27.0
WBD,26.55,0.91,-2.32,66.6,Communication Services,-2.26,39.5,Bear,-0.07,-2.53,0.21,2.5,Y,26.5
HON,215.2,1.75,-8.52,136.4,Industrials,-3.12,48.1,Bear,-1.73,-1.24,0.09,1.7,,23.4
META,594.27,1.32,-0.56,1508.8,Communication Services,-4.14,47.3,Bear,-2.08,-0.77,0.14,1.5,,20.7
MSFT,409.9,-0.26,-7.12,3044.6,Technology,-1.47,47.0,Bear,-2.7,-0.45,0.17,1.0,,19.6
ADBE,242.66,-1.06,-7.42,98.1,Technology,-3.57,43.1,Bear,-0.72,-1.42,0.15,5.2,,18.9
LYV,160.78,0.8,-4.09,37.4,Communication Services,-0.42,44.6,Bear,-1.17,-1.36,0.05,13.7,,17.9
SNAP,5.64,-0.18,-2.08,9.3,Communication Services,-0.65,52.8,Bear,-0.02,-1.91,0.09,11.4,,15.7
OXY,56.51,-1.22,-4.37,56.2,Energy,-1.3,32.8,Bear,-0.15,2.48,0.14,0.0,,14.4
ACN,175.38,-0.32,-5.82,107.9,Technology,-5.4,48.7,Bull,0.01,1.76,0.11,4.4,,13.9
CRM,180.36,-1.15,-10.2,147.7,Technology,-2.61,50.6,Bear,-0.13,1.62,0.13,8.8,,10.2
COP,116.64,-1.59,-0.2,142.1,Energy,-1.69,31.2,Bull,0.07,0.94,0.09,2.3,,6.9
XOM,149.0,-1.88,-0.37,617.6,Energy,-1.34,28.7,Bear,-0.14,0.22,0.1,1.1,,6.4
CVX,186.6,-1.29,-0.51,371.6,Energy,-0.29,32.9,Bull,0.15,1.93,0.13,1.0,,6.3
