=== Stock Screener — 2026-06-11 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2755 stocks with market cap > $1B
  Top 5 by daily gain: PBLS(+58.0%), FAC(+37.1%), FRMI(+22.6%), CASY(+20.3%), PLBL(+16.4%)
Screening 2755 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2455

  === Priority Tier ===
  Priority: 300/300 (167 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2455 (221 total passed)
  Remaining: 600/2455 (221 total passed)
  Remaining: 900/2455 (221 total passed)
  Remaining: 1200/2455 (221 total passed)
  Remaining: 1500/2455 (221 total passed)
  Remaining: 1800/2455 (221 total passed)
  Remaining: 2100/2455 (221 total passed)
  Remaining: 2400/2455 (221 total passed)
  Remaining: 2455/2455 (221 total passed)

  Final: 221 stocks passed all filters

================================================================================
  221 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1      FAC   20.56 -19.23  69.04       2.2             Industrials              Electrical Equipment & Parts       71.65  79.5  Bull       0.97   98.03       0.55      79.6     NaN
2     CLOV    5.01   2.24  25.56       2.6              Healthcare                          Healthcare Plans       53.72  78.5  Bull       0.08   41.13       0.36      78.0    3.67
3      AMC    2.24   8.98  14.54       1.7  Communication Services                             Entertainment       39.00  68.7  Bull       0.04   68.80       0.29      77.4     NaN
4     CRDO  257.45  10.49  18.37      47.5              Technology                            Semiconductors       36.46  68.7  Bull       1.68   35.96       0.17      76.4    4.67
5     APPS    9.87  -4.27   5.90       1.2              Technology                    Software - Application       67.76  77.4  Bull       0.22  139.56       0.10      75.9    5.00
6     PAYO    6.54  -2.10  27.49       2.2              Technology                 Software - Infrastructure       25.53  74.1  Bull       0.17   32.66       0.06      75.5     NaN
7     PENN   21.58   0.67   9.93       2.9       Consumer Cyclical                         Resorts & Casinos       23.71  74.2  Bull       0.25   36.32       0.04      75.4    3.85
8     BFLY    5.43   1.69   4.62       1.4              Healthcare                           Medical Devices       19.14  62.9  Bull       0.11   38.52       0.08      75.3     NaN
9      TEO   15.10   6.15  14.17       6.5  Communication Services                          Telecom Services       19.72  70.0  Bull       0.12   27.79       0.22      74.5    3.60
10     CXW   26.46   0.22  14.75       2.6             Industrials            Security & Protection Services       23.46  79.9  Bull       0.52   28.45       0.02      73.6    5.00
11    SRAD   17.02   1.66  19.60       5.0              Technology                    Software - Application       15.03  73.2  Bull       0.52   36.70       0.08      73.1    4.52
12     CNK   33.48   1.30   8.67       3.9  Communication Services                             Entertainment       16.85  75.5  Bull       0.59   27.77       0.03      71.5    4.09
13    CAKE   72.12   2.02  12.97       3.6       Consumer Cyclical                               Restaurants       15.45  74.3  Bull       0.77   27.58       0.08      70.9     NaN
14    AMRX   15.54   2.10  14.94       5.0              Healthcare  Drug Manufacturers - Specialty & Generic       18.24  78.0  Bull       0.31   25.42       0.05      70.0    4.60
