=== Stock Screener — 2026-06-12 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2766 stocks with market cap > $1B
  Top 5 by daily gain: ATEX(+25.7%), YSS(+22.1%), BVC(+21.4%), MBX(+20.2%), AADX(+20.0%)
Screening 2766 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2466

  === Priority Tier ===
  Priority: 300/300 (177 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2466 (235 total passed)
  Remaining: 600/2466 (235 total passed)
  Remaining: 900/2466 (235 total passed)
  Remaining: 1200/2466 (235 total passed)
  Remaining: 1500/2466 (235 total passed)
  Remaining: 1800/2466 (235 total passed)
  Remaining: 2100/2466 (235 total passed)
  Remaining: 2400/2466 (235 total passed)
  Remaining: 2466/2466 (235 total passed)

  Final: 235 stocks passed all filters

================================================================================
  235 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     ATEX    83.40   4.18  25.15       1.6  Communication Services                          Telecom Services       48.11  84.2  Bull       1.05   47.30       0.34      77.9    4.00
2     BBAR    20.40   1.74  16.60       4.2      Financial Services                          Banks - Regional       23.58  68.5  Bull       0.24   37.77       0.23      76.9     NaN
3     ADPT    18.67  -4.99  10.47       3.0              Healthcare                    Diagnostics & Research       23.33  70.9  Bull       0.37   41.65       0.20      76.6    4.50
4     CRDO   250.97  -6.62  21.30      46.3              Technology                            Semiconductors       31.16  64.0  Bull       2.29   36.00       0.14      76.2    4.67
5     AMRX    16.36  -0.18  18.98       5.2              Healthcare  Drug Manufacturers - Specialty & Generic       23.02  81.6  Bull       0.40   33.77       0.15      76.2    4.60
6      AMC     2.29   2.01  27.65       1.7  Communication Services                             Entertainment       39.13  69.5  Bull       0.05   70.52       0.13      76.1    3.29
7     TWST    76.60   3.30  10.65       4.8              Healthcare                    Diagnostics & Research       26.45  68.5  Bull       0.63   44.66       0.08      75.7    4.67
8        M    25.36   1.24  14.44       6.7       Consumer Cyclical                         Department Stores       22.09  76.0  Bull       0.33   38.50       0.08      75.6    3.00
9     ALNT    91.26   0.03   7.54       1.6              Technology                     Electronic Components       22.81  70.8  Bull       1.28   43.74       0.07      75.6     NaN
10    PDFS    63.21  -1.85  22.86       2.6              Technology                    Software - Application       32.77  69.3  Bull       1.07   37.26       0.05      75.4    5.00
