=== Stock Screener — 2026-06-16 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2774 stocks with market cap > $1B
  Top 5 by daily gain: BRUNW(+34.0%), NTLA(+23.2%), WYFI(+21.4%), BRUN(+21.2%), ELVR(+21.1%)
Screening 2774 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2474

  === Priority Tier ===
  Priority: 300/300 (192 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2474 (267 total passed)
  Remaining: 600/2474 (267 total passed)
  Remaining: 900/2474 (267 total passed)
  Remaining: 1200/2474 (267 total passed)
  Remaining: 1500/2474 (267 total passed)
  Remaining: 1800/2474 (267 total passed)
  Remaining: 2100/2474 (267 total passed)
  Remaining: 2400/2474 (267 total passed)
  Remaining: 2474/2474 (267 total passed)

  Final: 267 stocks passed all filters

================================================================================
  267 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1      RXT     6.99  19.69  50.00       1.7              Technology                 Software - Infrastructure       73.47  66.3  Bull       0.05   45.62       1.51      87.6    3.00
2      WDC   714.50   9.33  35.60     246.0              Technology                         Computer Hardware       52.98  75.5  Bull       6.36   48.27       0.46      78.9    4.48
3      AIP    44.10   0.81  30.64       2.0              Technology                            Semiconductors       39.29  72.7  Bull       0.40   32.49       0.16      76.3     NaN
4     ULCC     6.77   1.50   6.61       1.6             Industrials                                  Airlines       31.48  67.9  Bull       0.05   46.22       0.15      76.3     NaN
5     PAYO     7.03   0.07  10.09       2.4              Technology                 Software - Infrastructure       29.96  81.0  Bull       0.20   46.56       0.15      76.2    4.60
6     VECO    80.87  -3.23  20.36       4.9              Technology       Semiconductor Equipment & Materials       42.54  72.9  Bull       1.88   45.32       0.14      76.2     NaN
7     AMAT   590.53   0.45  19.98     468.5              Technology       Semiconductor Equipment & Materials       33.64  76.6  Bull      10.49   35.42       0.14      76.2    4.47
8     SEZL   146.52   0.43  20.93       4.9      Financial Services                           Credit Services       43.67  77.7  Bull       1.43   48.57       0.14      76.1    4.33
9     SNDK  2140.00   1.67  30.33     316.9              Technology                         Computer Hardware       54.51  74.6  Bull      22.10   52.03       0.13      76.1    4.41
10    MRVL   310.12   1.57   7.36     271.6              Technology                            Semiconductors       55.90  67.9  Bull       2.39   75.32       0.12      76.0    4.55
11    ALGM    56.64   1.52  21.47      10.5              Technology                            Semiconductors       24.62  64.0  Bull       0.47   36.98       0.11      75.9    4.75
12    LRCX   388.65   0.44  19.79     486.0              Technology       Semiconductor Equipment & Materials       31.44  72.7  Bull       4.48   36.50       0.09      75.8    4.44
13    TWST    83.14   2.65  18.68       5.2              Healthcare                    Diagnostics & Research       33.66  74.1  Bull       1.20   66.99       0.08      75.7    4.60
14    CRDO   253.01  -1.77   7.98      46.7              Technology                            Semiconductors       28.89  63.0  Bull       2.12   61.91       0.09      75.7    4.67
15    UCTT   115.00   1.77  37.02       5.2              Technology       Semiconductor Equipment & Materials       39.14  72.4  Bull       2.37   33.81       0.08      75.6    4.80
16    COHU    66.09   3.35  25.86       3.1              Technology       Semiconductor Equipment & Materials       37.86  72.3  Bull       0.83   40.20       0.07      75.6    4.86
17     UAL   121.76   1.77  15.61      39.5             Industrials                                  Airlines       18.68  67.9  Bull       0.92   31.14       0.15      75.6    4.65
18    ALNT    95.19  -0.32   9.19       1.6              Technology                     Electronic Components       26.71  74.2  Bull       1.36   55.32       0.07      75.5     NaN
19    DAVE   312.40   1.10  12.09       4.0              Technology                    Software - Application       23.36  68.6  Bull       4.43   29.86       0.07      75.4    4.58
20    ONTO   333.98  -0.39  21.88      16.6              Technology       Semiconductor Equipment & Materials       23.44  68.8  Bull       7.79   31.21       0.03      75.3    4.88
21    CDNL    71.79  -1.45  17.05       1.1             Industrials                Engineering & Construction       36.05  72.0  Bull       1.27   37.66       0.04      75.3    5.00
22    TNGX    32.46  -1.28   2.85       5.3              Healthcare                             Biotechnology       37.48  67.1  Bull       1.11   57.34       0.02      75.2    4.67
23    HNGE    70.40   1.58  11.99       5.4              Healthcare               Health Information Services       30.70  80.2  Bull       0.61   29.17       0.11      75.1    4.44
24    HOOD    99.43   2.03  18.69      89.5      Financial Services                           Capital Markets       19.31  66.3  Bull       1.48   28.88       0.16      74.9    4.11
25    HIMS    30.64   2.17   5.73       7.1              Healthcare  Drug Manufacturers - Specialty & Generic       17.49  61.8  Bull       0.36   37.46       0.12      74.8    3.31
26    MNKD     4.01  -0.76  18.44       1.2              Healthcare                             Biotechnology       19.17  68.1  Bull       0.03   29.94       0.04      74.8    4.75
27    RMIX    22.82  -1.21  31.38       2.2         Basic Materials                        Building Materials       39.40  80.2  Bull       0.42   29.37       0.06      74.8    5.00
28     ALK    50.43   2.81  19.38       5.6             Industrials                                  Airlines       18.17  66.6  Bull       0.58   36.51       0.06      74.6    4.50
29     JHX    25.59   3.06  13.78      14.9         Basic Materials                        Building Materials       17.13  68.1  Bull       0.23   32.80       0.07      74.2     NaN
30    ALGT    98.07   2.97  19.14       2.6             Industrials                                  Airlines       16.43  64.0  Bull       0.94   30.93       0.05      73.7    3.82
31       W    83.64   1.14  17.24      11.0       Consumer Cyclical                           Internet Retail       15.39  67.1  Bull       1.65   41.14       0.02      72.9    4.03
32     TER   430.09  -0.73  14.79      67.3              Technology       Semiconductor Equipment & Materials       19.41  62.1  Bull       3.30   27.34       0.06      72.6    4.22
33    BHVN    11.83  -0.68   6.66       1.8              Healthcare                             Biotechnology       14.12  60.3  Bull       0.11   39.33       0.02      72.3    4.26
34    SNEX   137.21  -0.07  16.58      10.9      Financial Services                           Capital Markets       25.62  78.1  Bull       1.92   24.49       0.28      71.8    5.00
35    NCLH    20.38   1.14   7.09       9.4       Consumer Cyclical                           Travel Services        9.98  65.0  Bull       0.29   33.55       0.10      70.9    3.96
36     LIF    49.47   0.97   6.08       4.0              Technology                    Software - Application       11.30  63.3  Bull       0.38   28.41       0.05      69.5    4.36
37    TECH    56.62   1.10   7.53       8.9              Healthcare                             Biotechnology        8.49  63.5  Bull       0.79   30.99       0.02      69.4    4.19
38     MBC     9.25   0.87   5.71       1.2       Consumer Cyclical        Furnishings, Fixtures & Appliances        7.46  61.7  Bull       0.10   31.21       0.03      69.0    3.00
39    TVTX    53.00  -1.86   9.12       4.9              Healthcare                             Biotechnology       22.90  68.4  Bull       0.56   23.57       0.04      68.9    4.73
40    MKSI   371.99  -1.33  19.19      25.1              Technology        Scientific & Technical Instruments       23.69  69.7  Bull       2.83   22.79       0.05      68.2    4.25
41    PLBL     8.62  -0.29  56.25       3.2       Consumer Cyclical                         Department Stores       20.44  68.2  Bull       0.23   22.34       0.08      68.0     NaN
42    ARQT    25.40  -1.36  11.45       3.2              Healthcare                             Biotechnology       11.50  68.0  Bull       0.55   26.81       0.03      67.8    4.50
43     RCL   315.78   1.14  11.88      84.7       Consumer Cyclical                           Travel Services       13.66  66.0  Bull       3.74   25.67       0.04      67.8    4.29
44     ELF    68.46   6.89  22.98       4.1      Consumer Defensive             Household & Personal Products       13.16  69.7  Bull       1.96   24.79       0.12      67.4    4.17
45    ARHS     7.50  -1.19  12.28       1.1       Consumer Cyclical                          Specialty Retail        8.50  65.2  Bull       0.14   27.77       0.02      67.2    3.60
46    ACLS   188.60  -1.62  21.86       5.8              Technology       Semiconductor Equipment & Materials       30.18  68.3  Bull       2.05   21.53       0.07      67.1    3.60
47     CCL    30.52   4.59  13.00      42.3       Consumer Cyclical                           Travel Services       12.73  65.1  Bull       0.28   24.62       0.11      66.9    4.46
48     EDN    28.59  -0.52  10.47       1.4               Utilities            Utilities - Regulated Electric        8.37  60.9  Bull       0.26   27.46       0.00      66.7     NaN
49    ENTG   162.29  -1.04  22.29      24.7              Technology       Semiconductor Equipment & Materials       18.47  65.1  Bull       2.29   21.96       0.04      66.5     NaN
50     IRS    17.24  -0.12  10.65       1.5             Real Estate                      Real Estate Services       13.29  67.3  Bull       0.27   23.58       0.09      66.0     NaN
51    FORM   151.75   1.14  22.13      11.8              Technology       Semiconductor Equipment & Materials       21.37  63.7  Bull       2.31   20.18       0.06      65.6    4.00
52    ETSY    72.40   1.97   5.29       6.9       Consumer Cyclical                           Internet Retail       14.07  70.5  Bull       0.37   23.07       0.04      65.4    3.43
53    HROW    39.26   0.15  18.61       1.5              Healthcare  Drug Manufacturers - Specialty & Generic        8.36  64.8  Bull       0.78   25.79       0.01      65.1    5.00
54    SYRE    83.45   0.34   9.18       7.2              Healthcare                             Biotechnology       20.24  64.5  Bull       0.79   19.08       0.07      64.7    5.00
55    ABSI     7.07  -5.08   3.51       1.1              Healthcare                             Biotechnology       32.20  61.2  Bull       0.02   42.97       0.06      64.7    4.64
56     MBX    38.65  -0.88  33.26       1.8              Healthcare                             Biotechnology       19.10  65.7  Bull       0.79   19.09       0.06      64.1    4.50
57    CHEF    94.86   0.91  17.25       3.9      Consumer Defensive                         Food Distribution       24.04  84.9  Bull       1.36   18.07       0.03      63.3    4.62
58     TEM    53.81   3.08  10.74       9.7              Healthcare               Health Information Services        7.80  58.4  Bull       0.40   22.49       0.12      62.4    3.94
59    NVMI   598.15  -1.24  17.76      19.0              Technology       Semiconductor Equipment & Materials       18.16  65.0  Bull       9.05   17.48       0.04      61.9    4.50
60    CDNA    24.45   3.56   7.47       1.3              Healthcare                    Diagnostics & Research       14.20  65.9  Bull       0.12   18.75       0.11      61.7     NaN
61     STX  1079.00   6.02  23.07     244.1              Technology                         Computer Hardware       44.34  74.1  Bull       2.94   35.64       0.31      61.6    4.46
62    FRMI     7.59   0.82  33.25       4.8             Real Estate                          REIT - Specialty       18.80  64.6  Bull       0.11   16.67       0.05      61.5     NaN
