=== Stock Screener — 2026-06-17 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2775 stocks with market cap > $1B
  Top 5 by daily gain: SLBT(+167.0%), HONAV(+35.0%), WYFI(+18.9%), BVC(+18.2%), LION(+13.8%)
Screening 2775 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2475

  === Priority Tier ===
  Priority: 300/300 (197 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2475 (259 total passed)
  Remaining: 600/2475 (259 total passed)
  Remaining: 900/2475 (259 total passed)
  Remaining: 1200/2475 (259 total passed)
  Remaining: 1500/2475 (259 total passed)
  Remaining: 1800/2475 (259 total passed)
  Remaining: 2100/2475 (259 total passed)
  Remaining: 2400/2475 (259 total passed)
  Remaining: 2475/2475 (259 total passed)

  Final: 259 stocks passed all filters

================================================================================
  259 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     SHAZ    94.16  23.62  49.72       1.6              Technology           Information Technology Services       64.27  68.7  Bull       0.56   79.42       1.26      85.5    5.00
2     WYFI    37.60   5.32  64.77       1.5              Technology           Information Technology Services       55.43  71.4  Bull       0.62   47.34       0.45      78.8    4.40
3      RXT     7.16  15.85  53.65       1.8              Technology                 Software - Infrastructure       77.41  67.1  Bull       0.06   49.17       0.42      78.5    3.00
4     MAAS    16.80  20.00  53.14       7.4      Financial Services                          Asset Management       62.69  80.9  Bull       0.47   76.47       0.30      77.5     NaN
5     FRMI     8.86  12.15  28.59       5.7             Real Estate                          REIT - Specialty       35.54  73.1  Bull       0.23   50.94       0.27      77.3     NaN
6      WDC   711.48   3.41  45.17     245.2              Technology                         Computer Hardware       47.47  75.7  Bull      13.42   56.14       0.24      77.0    4.44
7     NBIS   279.51   5.77  32.04      71.0  Communication Services            Internet Content & Information       40.46  68.3  Bull       1.59   41.36       0.13      76.1    3.94
8      AMC     2.58   4.25  32.73       1.9  Communication Services                             Entertainment       51.21  73.6  Bull       0.07   89.34       0.13      76.1    3.29
9     HIMS    31.71   0.92   9.42       7.3              Healthcare  Drug Manufacturers - Specialty & Generic       21.46  64.0  Bull       0.43   42.26       0.12      76.0    3.25
10    MGNI    18.80   2.06  18.91       2.7  Communication Services                      Advertising Agencies       32.23  79.8  Bull       0.34   40.40       0.10      75.8    4.53
