=== Stock Screener — 2026-06-18 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2763 stocks with market cap > $1B
  Top 5 by daily gain: QURE(+78.4%), HQ(+26.3%), BRAI(+25.0%), RXT(+21.3%), LZB(+14.8%)
Screening 2763 stocks...
  Priority tier (top 300 movers): 300
  Remaining: 2463

  === Priority Tier ===
  Priority: 300/300 (204 passed, 0 errors)

  === Remaining Tier ===
  Remaining: 300/2463 (274 total passed)
  Remaining: 600/2463 (274 total passed)
  Remaining: 900/2463 (274 total passed)
  Remaining: 1200/2463 (274 total passed)
  Remaining: 1500/2463 (274 total passed)
  Remaining: 1800/2463 (274 total passed)
  Remaining: 2100/2463 (274 total passed)
  Remaining: 2400/2463 (274 total passed)
  Remaining: 2463/2463 (274 total passed)

  Final: 274 stocks passed all filters

================================================================================
  274 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%   Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     BFLY     7.64  30.94   34.60       2.0              Healthcare                           Medical Devices       57.88  80.2  Bull       0.22   74.15       1.40      86.6     NaN
2     MRNA    63.23   1.87   27.38      25.1              Healthcare                             Biotechnology       26.05  74.2  Bull       1.74   31.40       0.45      78.8    2.91
3      WDC   790.59   7.26   49.37     272.5              Technology                         Computer Hardware       59.84  80.3  Bull      20.56   72.05       0.36      78.0    4.44
4     QURE    47.05  -1.94   75.43       3.0              Healthcare                             Biotechnology       81.85  80.7  Bull       1.77   91.26       0.35      77.9    4.31
5     MAAS    18.39   0.84   43.22       8.1      Financial Services                          Asset Management       68.73  84.1  Bull       0.67   80.47       0.27      77.2     NaN
6     FRMI     9.42   4.20   35.54       6.0             Real Estate                          REIT - Specialty       41.93  76.0  Bull       0.30   54.93       0.27      77.2     NaN
7      RXT     7.35  -4.54   31.25       1.8              Technology                 Software - Infrastructure       72.42  67.2  Bull       0.14   83.75       0.25      77.1    3.00
8      STX  1134.94   3.84   30.74     256.8              Technology                         Computer Hardware       44.96  77.5  Bull      16.21   51.11       0.25      77.1    4.46
9    BELFA   273.94   1.46   11.59       3.5              Technology                     Electronic Components       14.29  60.2  Bull       1.93   22.15       1.53      77.0     NaN
10    AMAT   628.98   3.16   13.81     499.4              Technology       Semiconductor Equipment & Materials       36.95  77.1  Bull      11.72   47.54       0.24      77.0    4.47
11    LRCX   394.24   2.80    8.83     493.0              Technology       Semiconductor Equipment & Materials       29.26  69.6  Bull       4.58   35.07       0.21      76.8    4.44
12     AMC     2.60  -3.54   13.82       2.0  Communication Services                             Entertainment       46.56  72.0  Bull       0.07   70.72       0.19      76.6    3.29
13    HIMS    33.44   3.85   15.83       7.7              Healthcare  Drug Manufacturers - Specialty & Generic       25.70  67.6  Bull       0.61   45.14       0.18      76.5    3.25
14      HQ    25.00   3.86  140.62       1.3              Technology                 Software - Infrastructure       96.92  79.8  Bull       1.39  130.63       0.16      76.4    4.00
15    BHVN    13.71  -0.65   20.58       2.1              Healthcare                             Biotechnology       28.98  71.4  Bull       0.27   54.92       0.17      76.4    4.26
16    TGTX    53.69   2.78   11.74       8.2              Healthcare                             Biotechnology       32.33  83.5  Bull       1.16   35.04       0.17      76.4    4.33
17    ICHR    98.45   7.48   17.15       3.4              Technology       Semiconductor Equipment & Materials       40.61  72.2  Bull       2.34   49.71       0.16      76.3     NaN
18    HOOD   103.86  -2.30   12.61      93.6      Financial Services                           Capital Markets       22.40  67.6  Bull       1.90   37.09       0.15      76.3    4.11
19    NBIS   291.86   0.45   31.32      74.1  Communication Services            Internet Content & Information       43.98  70.7  Bull       3.34   52.15       0.15      76.2    3.94
20    ACMR   102.58   3.53   11.86       7.1              Technology       Semiconductor Equipment & Materials       40.29  68.8  Bull       0.55   43.27       0.13      76.1     NaN
21    SHAZ    86.49  -4.85   20.95       1.5              Technology           Information Technology Services       48.81  65.5  Bull       0.61   72.12       0.13      76.1    5.00
