=== Stock Screener — 2026-06-23 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2766 stocks with market cap > $1B
  Top 5 by daily gain: OPI(+8400.0%), DFTX(+49.8%), APGE(+46.7%), HQWWW(+32.4%), HQ(+20.0%)
  S&P 500 loaded: 503 tickers
Screening 2766 stocks...
  Priority tier: 910 (top 500 movers + 410 S&P 500)
  Remaining: 1856

  === Priority Tier ===
  Priority: 300/910 (159 passed, 0 errors)
  Priority: 600/910 (214 passed, 176 errors)
  Priority: 900/910 (214 passed, 476 errors)
  Priority: 910/910 (214 passed, 486 errors)

  Retrying 486 priority tickers...
  After priority retry: 214 passed

  === Remaining Tier ===
  Remaining: 300/1856 (214 total passed)
  Remaining: 600/1856 (214 total passed)
  Remaining: 900/1856 (214 total passed)
  Remaining: 1200/1856 (214 total passed)
  Remaining: 1500/1856 (214 total passed)
  Remaining: 1800/1856 (214 total passed)
  Remaining: 1856/1856 (214 total passed)

  Final: 214 stocks passed all filters

================================================================================
  214 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%   Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     WYFI    46.56   1.23   55.32       1.8              Technology           Information Technology Services       77.44  76.6  Bull       1.85   54.24       0.42      78.5    4.40
2     APGE   132.57  -0.04   53.81      10.0              Healthcare                             Biotechnology       52.22  81.5  Bull       4.87   63.34       0.30      77.5    4.07
3     DFTX    37.12   5.68   56.16       4.0              Healthcare                             Biotechnology       58.30  84.9  Bull       1.27   64.98       0.20      76.7    4.73
4       HQ    37.12  -5.45  108.31       1.9              Technology                 Software - Infrastructure      149.55  84.5  Bull       2.89  167.05       0.17      76.4     NaN
5      UMC    25.99  -5.87   12.60      65.2              Technology                            Semiconductors       42.90  68.4  Bull       0.31   42.64       0.16      76.4    2.25
6     ABSI     8.12  -2.58   11.76       1.3              Healthcare                             Biotechnology       42.35  66.7  Bull       0.11   59.31       0.14      76.2    4.64
7     SYRE   101.00  -1.36   20.85       8.8              Healthcare                             Biotechnology       38.13  78.4  Bull       2.34   36.40       0.13      76.0    5.00
8     ALAB   409.77  -6.59    5.29      70.2              Technology                            Semiconductors       42.17  64.5  Bull       2.45   33.53       0.12      76.0    4.12
9     ALOY    18.89  -4.35   22.66       1.2         Basic Materials          Other Industrial Metals & Mining       50.94  70.6  Bull       0.60   92.95       0.11      75.9     NaN
10    CLOV     5.20   1.71    8.11       2.7              Healthcare                          Healthcare Plans       41.71  74.9  Bull       0.04   46.48       0.10      75.8    3.67
