=== Stock Screener — 2026-06-24 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2774 stocks with market cap > $1B
  Top 5 by daily gain: MAAS(+19.0%), EPC(+15.4%), QNT(+13.5%), JBIO(+13.0%), LILA(+12.7%)
  S&P 500 loaded: 503 tickers
Screening 2774 stocks...
  Priority tier: 902 (top 500 movers + 402 S&P 500)
  Remaining: 1872

  === Priority Tier ===
  Priority: 300/902 (177 passed, 0 errors)
  Priority: 600/902 (239 passed, 186 errors)
  Priority: 900/902 (239 passed, 486 errors)
  Priority: 902/902 (239 passed, 488 errors)

  Retrying 488 priority tickers...
  After priority retry: 239 passed

  === Remaining Tier ===
  Remaining: 300/1872 (239 total passed)
  Remaining: 600/1872 (239 total passed)
  Remaining: 900/1872 (239 total passed)
  Remaining: 1200/1872 (239 total passed)
  Remaining: 1500/1872 (239 total passed)
  Remaining: 1800/1872 (239 total passed)
  Remaining: 1872/1872 (239 total passed)

  Final: 239 stocks passed all filters

================================================================================
  239 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker   Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     MAAS   18.34 -16.45  15.49       8.1      Financial Services                          Asset Management       54.72  66.4  Bull       0.66   61.59       0.57      79.7     NaN
2     QURE   48.29  -1.45  78.92       3.0              Healthcare                             Biotechnology       70.77  75.9  Bull       2.17   92.01       0.34      77.9    4.54
3     ALKS   51.37   8.41  16.50       8.6              Healthcare  Drug Manufacturers - Specialty & Generic       28.74  83.9  Bull       0.42   37.52       0.17      76.4    4.47
4     BFLY    8.23   6.95  45.75       2.2              Healthcare                           Medical Devices       57.86  69.5  Bull       0.32   81.39       0.12      76.0    5.00
5     NUVB    6.33   5.15  23.63       2.2              Healthcare                             Biotechnology       25.97  75.2  Bull       0.15   34.97       0.09      75.7    4.60
6      MBX   46.60   4.90  16.23       2.2              Healthcare                             Biotechnology       33.51  77.0  Bull       1.52   46.76       0.06      75.5    4.50
7      RXT    6.88  -4.04  10.79       1.7              Technology                 Software - Infrastructure       50.64  60.9  Bull       0.09   38.43       0.06      75.5    3.00
8     AKTS   26.89  -1.52  18.80       1.5              Healthcare                             Biotechnology       30.22  73.9  Bull       0.75   30.64       0.06      75.5    4.86
9     ENVA  213.05   1.07   9.94       5.3      Financial Services                           Credit Services       22.81  83.5  Bull       3.47   33.95       0.05      75.4     NaN
10    AMRX   17.18   2.94   5.72       5.5              Healthcare  Drug Manufacturers - Specialty & Generic       22.15  81.9  Bull       0.20   34.32       0.04      75.3    4.50
11     EPC   26.06  -1.88  15.06       1.2      Consumer Defensive             Household & Personal Products       25.06  77.4  Bull       0.62   49.83       0.04      75.3     NaN
