=== Stock Screener — 2026-07-01 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2799 stocks with market cap > $1B
  Top 5 by daily gain: SLBT(+40.9%), ABVX(+38.6%), AMBA(+28.0%), ENRD(+25.5%), RZLV(+21.2%)
  S&P 500 loaded: 503 tickers
Screening 2799 stocks...
  Priority tier: 936 (top 500 movers + 436 S&P 500)
  Remaining: 1863

  === Priority Tier ===
  Priority: 300/936 (162 passed, 0 errors)
  Priority: 600/936 (218 passed, 187 errors)
  Priority: 900/936 (218 passed, 487 errors)
  Priority: 936/936 (218 passed, 523 errors)

  Retrying 523 priority tickers...
  After priority retry: 218 passed

  === Remaining Tier ===
  Remaining: 300/1863 (218 total passed)
  Remaining: 600/1863 (218 total passed)
  Remaining: 900/1863 (218 total passed)
  Remaining: 1200/1863 (218 total passed)
  Remaining: 1500/1863 (218 total passed)
  Remaining: 1800/1863 (218 total passed)
  Remaining: 1863/1863 (218 total passed)

  Final: 218 stocks passed all filters

================================================================================
  218 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     ABVX   137.19   2.76  48.30      10.9              Healthcare                             Biotechnology       24.46  67.7  Bull       4.36   89.23       0.38      78.1    4.45
2     FCEL    36.55  -1.21  69.53       2.5             Industrials              Electrical Equipment & Parts       87.06  73.6  Bull       1.58   48.34       0.20      76.7    3.12
3      MXL   117.89  -8.81  38.71      10.6              Technology                            Semiconductors       45.98  64.8  Bull       3.27   32.82       0.20      76.7     NaN
4     DRTS    12.47  -1.46  24.03       1.1              Healthcare                             Biotechnology       29.16  68.8  Bull       0.27   39.59       0.20      76.6     NaN
5     UCTT   131.27  -9.47  21.08       5.9              Technology       Semiconductor Equipment & Materials       35.93  64.1  Bull       2.12   45.52       0.19      76.6     NaN
6     AMAT   678.26  -6.61  15.16     538.4              Technology       Semiconductor Equipment & Materials       32.40  64.4  Bull       8.87   38.41       0.17      76.5    4.51
7     KLAC   279.08  -8.50  16.05     364.7              Technology       Semiconductor Equipment & Materials       29.04  62.2  Bull       3.06   36.45       0.16      76.3    4.00
8     OUST    61.18  -2.25  50.28       3.9              Technology                     Electronic Components       56.99  70.4  Bull       1.52   32.91       0.16      76.3    4.71
9     HIMS    35.90   3.52   9.79       8.3              Healthcare  Drug Manufacturers - Specialty & Generic       25.42  67.6  Bull       0.31   30.50       0.13      76.1    3.25
10    FBIN    53.76  -2.09  20.39       6.4             Industrials             Building Products & Equipment       26.89  75.1  Bull       1.30   37.10       0.10      75.8    3.31
11    ORKA    94.08  -3.01  14.61       5.7              Healthcare                             Biotechnology       36.76  75.7  Bull       2.32   70.34       0.09      75.7    4.85
12    ASTH    48.09   5.69  13.77       2.4              Healthcare                   Medical Care Facilities       27.01  84.7  Bull       0.76   30.29       0.07      75.6     NaN
13    ICHR   104.79  -6.50  17.24       3.7              Technology       Semiconductor Equipment & Materials       34.11  64.6  Bull       1.73   39.81       0.08      75.6    4.57
