=== Stock Screener — 2026-07-03 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2805 stocks with market cap > $1B
  Top 5 by daily gain: SLBT(+34.6%), PLBL(+18.2%), CLVT(+16.7%), GPC(+12.9%), SLS(+12.9%)
  S&P 500 loaded: 503 tickers
Screening 2805 stocks...
  Priority tier: 880 (top 500 movers + 380 S&P 500)
  Remaining: 1925

  === Priority Tier ===
  Priority: 300/880 (180 passed, 0 errors)
  Priority: 600/880 (253 passed, 197 errors)
  Priority: 880/880 (253 passed, 477 errors)

  Retrying 477 priority tickers...
  After priority retry: 253 passed

  === Remaining Tier ===
  Remaining: 300/1925 (253 total passed)
  Remaining: 600/1925 (253 total passed)
  Remaining: 900/1925 (253 total passed)
  Remaining: 1200/1925 (253 total passed)
  Remaining: 1500/1925 (253 total passed)
  Remaining: 1800/1925 (253 total passed)
  Remaining: 1925/1925 (253 total passed)

  Final: 253 stocks passed all filters

================================================================================
  253 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%   Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     PLBL    10.26  18.20   25.74       3.8       Consumer Cyclical                         Department Stores       34.98  70.0  Bull       0.22   71.77       3.63     100.0     NaN
2      GPC   132.57  13.65   17.33      18.4       Consumer Cyclical                                Auto Parts       24.27  83.6  Bull       2.29   36.36       2.56      96.3    3.90
3     SLDE    21.25   6.14   17.66       2.4      Financial Services           Insurance - Property & Casualty       17.39  74.5  Bull       0.47   31.25       2.56      95.1    4.00
4      VOR    20.59  11.96   37.91       1.1              Healthcare                             Biotechnology       34.76  76.3  Bull       0.65   53.20       2.35      94.6     NaN
5     MNKD     4.52  10.78   15.01       1.4              Healthcare                             Biotechnology       24.42  70.1  Bull       0.03   34.52       1.84      90.3     NaN
6     SKWD    61.42   4.81   10.87       2.5      Financial Services           Insurance - Property & Casualty       23.29  78.7  Bull       0.98   43.74       1.66      88.8     NaN
7     XERS     8.28   3.11   11.89       1.4              Healthcare  Drug Manufacturers - Specialty & Generic       22.69  83.6  Bull       0.12   40.58       1.65      88.7    4.57
8     IPAR   119.39   3.22   14.40       3.8      Consumer Defensive             Household & Personal Products       22.04  80.7  Bull       1.87   36.27       1.62      88.5    4.67
9      SLS    14.98  14.18   42.26       2.9              Healthcare                             Biotechnology       76.05  73.0  Bull       0.63   82.91       1.60      88.4     NaN
10    LMRI    12.43   7.25   17.49       1.2              Healthcare                           Medical Devices       27.36  71.4  Bull       0.31   59.97       1.54      87.9    4.75
11    MRNA    79.76   9.10   33.49      31.6              Healthcare                             Biotechnology       44.05  80.7  Bull       2.12   62.58       1.53      87.7    3.00
