=== Stock Screener — 2026-07-08 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2804 stocks with market cap > $1B
  Top 5 by daily gain: CRNX(+98.7%), AGIO(+17.7%), NIQ(+12.0%), BAND(+11.4%), DBVT(+11.1%)
  S&P 500 loaded: 503 tickers
Screening 2804 stocks...
  Priority tier: 895 (top 500 movers + 395 S&P 500)
  Remaining: 1909

  === Priority Tier ===
  Priority: 300/895 (173 passed, 0 errors)
  Priority: 600/895 (240 passed, 190 errors)
  Priority: 895/895 (240 passed, 485 errors)

  Retrying 485 priority tickers...
  After priority retry: 240 passed

  === Remaining Tier ===
  Remaining: 300/1909 (240 total passed)
  Remaining: 600/1909 (240 total passed)
  Remaining: 900/1909 (240 total passed)
  Remaining: 1200/1909 (240 total passed)
  Remaining: 1500/1909 (240 total passed)
  Remaining: 1800/1909 (240 total passed)
  Remaining: 1909/1909 (240 total passed)

  Final: 240 stocks passed all filters

================================================================================
  240 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%   Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     CRNX    83.47  -0.09  123.06       8.8              Healthcare                             Biotechnology      104.96  93.2  Bull       4.99  149.31       0.54      79.5    4.60
2     ALMS    30.25   4.54    7.52       3.9              Healthcare                             Biotechnology       24.63  73.5  Bull       0.56   59.32       0.12      76.0    4.73
3     AXON   620.43  -3.21   10.67      50.0             Industrials                       Aerospace & Defense       30.59  74.4  Bull      18.25   31.71       0.09      75.8    4.40
4     VKTX    40.92  -2.58    4.89       4.8              Healthcare                             Biotechnology       21.48  69.2  Bull       0.71   39.93       0.08      75.7    4.55
5     XERS     8.75  -2.69   10.46       1.5              Healthcare  Drug Manufacturers - Specialty & Generic       25.41  81.0  Bull       0.14   40.20       0.07      75.6    4.57
6     BCAX    30.03  -1.36    1.16       2.0              Healthcare                             Biotechnology       26.25  77.6  Bull       0.48   49.43       0.08      75.6     NaN
7      MBX    62.70   1.26   13.59       3.0              Healthcare                             Biotechnology       50.83  89.1  Bull       1.44  116.21       0.08      75.6     NaN
8     GSHD    56.01   0.13   15.47       2.0      Financial Services                         Insurance Brokers       28.27  78.4  Bull       1.68   53.40       0.05      75.5    3.62
9     SANA     4.11  -0.36   17.62       1.1              Healthcare                             Biotechnology       22.68  75.5  Bull       0.11   52.60       0.06      75.5    4.56
10    RARE    35.54   0.25    6.45       3.5              Healthcare                             Biotechnology       31.35  78.3  Bull       0.70   64.64       0.06      75.5     NaN
11    TRVI    19.49  -2.99    4.50       2.8              Healthcare                             Biotechnology       24.86  74.6  Bull       0.17   44.37       0.05      75.4     NaN
12    KYMR   118.49  -2.48    3.33       9.7              Healthcare                             Biotechnology       27.09  74.2  Bull       1.72   60.23       0.05      75.4    4.70
13    TDOC     9.28   0.30    9.43       1.7              Healthcare               Health Information Services       24.09  70.6  Bull       0.12   31.07       0.05      75.4    3.52
14    AGIO    43.72  -0.65   17.80       2.6              Healthcare                             Biotechnology       33.63  82.3  Bull       0.75   59.31       0.04      75.3     NaN
15    RLAY    20.10   1.64    7.46       4.4              Healthcare                             Biotechnology       29.38  70.6  Bull       0.20   47.18       0.04      75.3    4.83
16    KNSA    66.96  -0.05    4.71       5.2              Healthcare  Drug Manufacturers - Specialty & Generic       21.28  71.9  Bull       0.97   36.55       0.03      75.3    4.88
17    SKWD    62.46  -0.23    7.04       2.5      Financial Services           Insurance - Property & Casualty       22.12  76.4  Bull       0.73   35.33       0.04      75.3    4.08
18    PLMR   146.96   1.15   16.27       3.9      Financial Services           Insurance - Property & Casualty       21.52  82.8  Bull       3.31   37.61       0.04      75.3    4.38
19    GLUE    24.31  -3.55    0.43       2.1              Healthcare                             Biotechnology       20.99  71.4  Bull       0.41   42.97       0.02      75.2    4.75
20    PTGX   138.88  -1.51   13.30       8.9              Healthcare                             Biotechnology       24.49  79.5  Bull       2.01   41.67       0.03      75.2    4.62
21     DYN    23.61  -0.38    6.30       3.9              Healthcare                             Biotechnology       20.68  70.4  Bull       0.35   40.45       0.03      75.2    4.59
22    MGTX    14.55  -0.72    7.66       1.3              Healthcare                             Biotechnology       34.49  76.0  Bull       0.32   60.01       0.03      75.2    4.75
23    KURA    11.86  -0.75    8.11       1.1              Healthcare                             Biotechnology       19.48  70.8  Bull       0.17   38.55       0.04      75.1    4.73
24    CLDX    39.96   0.40    7.39       3.1              Healthcare                             Biotechnology       20.13  76.4  Bull       0.66   39.92       0.01      75.1     NaN
25    ZBIO    28.22  -0.98   11.19       1.8              Healthcare                             Biotechnology       30.48  71.4  Bull       0.64   60.25       0.02      75.1     NaN
26    MIRM   127.51  -1.90    8.92       7.8              Healthcare                             Biotechnology       19.54  69.6  Bull       1.52   36.25       0.01      74.8    4.71
27    GPCR    55.58  -0.75    3.56       4.0              Healthcare                             Biotechnology       18.60  74.4  Bull       0.93   47.15       0.02      74.5    4.62
28    CRVS    16.00   2.24    7.10       1.3              Healthcare                             Biotechnology       17.01  75.2  Bull       0.41   43.50       0.08      74.2     NaN
29    CGEM    18.35   1.07    0.80       1.1              Healthcare                             Biotechnology       17.13  65.5  Bull       0.14   38.22       0.03      73.8     NaN
30    IMNM    24.62   0.96   16.21       2.8              Healthcare                             Biotechnology       16.70  75.6  Bull       0.71   32.32       0.03      73.6     NaN
31    RYTM   113.36  -0.96    2.10       7.8              Healthcare                             Biotechnology       16.49  72.2  Bull       0.95   31.93       0.03      73.5    4.62
32     NSP    44.54  -3.16    7.83       1.7             Industrials            Staffing & Employment Services       22.52  65.4  Bull       0.55   28.30       0.02      73.5     NaN
33    MMYT    56.61  -3.56    6.23       5.4       Consumer Cyclical                           Travel Services       15.72  66.1  Bull       0.92   35.76       0.07      73.4    4.83
34    EWTX    44.64   2.74    9.87       4.8              Healthcare                             Biotechnology       22.46  70.0  Bull       0.41   28.13       0.02      73.3    4.45
35    HROW    45.50  -3.19    7.13       1.7              Healthcare  Drug Manufacturers - Specialty & Generic       15.84  69.4  Bull       0.36   37.46       0.04      73.3    5.00
36     NIQ    10.85  -1.81   16.04       3.2                     N/A                                       N/A       15.10  71.8  Bull       0.34   31.67       0.05      72.9    4.36
37    SION    45.90   2.16    4.34       2.1              Healthcare                             Biotechnology       14.14  64.6  Bull       0.73   36.97       0.10      72.9    4.45
38    SNDX    23.55   0.46    7.72       2.1              Healthcare                             Biotechnology       14.75  73.1  Bull       0.47   38.84       0.05      72.8     NaN
39    IDYA    40.03  -1.18    7.41       3.9              Healthcare                             Biotechnology       22.08  74.3  Bull       0.59   27.16       0.04      72.5    4.56
40    BCRX    10.81  -2.17    8.10       2.7              Healthcare  Drug Manufacturers - Specialty & Generic       17.11  68.4  Bull       0.15   28.23       0.09      72.5    4.70
41    BRBR    13.47  -3.31    4.10       1.6      Consumer Defensive                            Packaged Foods       13.96  67.2  Bull       0.41   70.51       0.01      72.1    3.93
42    SRRK    56.74  -2.10    3.15       6.8              Healthcare                             Biotechnology       14.42  70.6  Bull       0.65   29.53       0.02      71.9    4.83
43    JBIO    22.62   0.67    1.80       1.4              Healthcare                             Biotechnology       12.44  63.0  Bull       0.43   51.00       0.05      71.6     NaN
44    ANNX     6.47   1.59   13.40       1.1              Healthcare                             Biotechnology       18.68  70.6  Bull       0.16   26.46       0.07      71.4    4.60
45    MPLT    37.07  -0.05    3.43       1.7              Healthcare                             Biotechnology       23.23  66.0  Bull       0.62   25.83       0.01      70.9    4.83
46    MLYS    30.14  -0.67   11.71       2.7              Healthcare                             Biotechnology       10.94  67.5  Bull       0.65   33.96       0.02      70.6     NaN
47     LTH    41.73  -2.04    2.18       9.3       Consumer Cyclical                                   Leisure       19.20  74.5  Bull       0.21   25.88       0.01      70.5    4.71
48    XENE    64.95   2.49    7.60       6.3              Healthcare                             Biotechnology       16.16  80.1  Bull       0.97   26.83       0.07      70.5     NaN
49    ROIV    36.20  -0.28    2.29      26.0              Healthcare                             Biotechnology       16.06  76.4  Bull       0.31   27.06       0.03      70.4    4.69
50    NKTR    74.78  -0.29    7.12       2.5              Healthcare                             Biotechnology        9.97  63.6  Bull       1.85   32.07       0.02      70.2     NaN
51    PCVX    59.70  -0.42    2.70       8.6              Healthcare                             Biotechnology       11.28  65.2  Bull       0.89   28.86       0.07      70.1    4.73
52     KOD    39.78   4.11    2.10       2.5              Healthcare                             Biotechnology        9.43  59.2  Bull       0.53   34.35       0.03      70.0     NaN
53      LZ     7.16  -2.39   16.72       1.2             Industrials               Specialty Business Services       13.86  68.7  Bull       0.18   27.54       0.03      69.8    3.56
54    CVLT   152.04  -0.10    7.27       6.3              Technology                    Software - Application       24.30  77.2  Bull       1.30   24.53       0.02      69.7    4.24
55    DNLI    26.42  -0.94    2.72       4.2              Healthcare                             Biotechnology       18.44  75.9  Bull       0.11   35.21       0.03      69.5    4.84
