=== Stock Screener — 2026-07-16 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2791 stocks with market cap > $1B
  Top 5 by daily gain: LCID(+28.8%), CHRN(+28.8%), AEHR(+21.9%), IOVA(+20.6%), MAAS(+17.4%)
  S&P 500 loaded: 503 tickers
Screening 2791 stocks...
  Priority tier: 943 (top 500 movers + 443 S&P 500)
  Remaining: 1848

  === Priority Tier ===
  Priority: 300/943 (196 passed, 0 errors)
  Priority: 600/943 (268 passed, 173 errors)
  Priority: 900/943 (268 passed, 473 errors)
  Priority: 943/943 (268 passed, 516 errors)

  Retrying 516 priority tickers...
  After priority retry: 268 passed

  === Remaining Tier ===
  Remaining: 300/1848 (268 total passed)
  Remaining: 600/1848 (268 total passed)
  Remaining: 900/1848 (268 total passed)
  Remaining: 1200/1848 (268 total passed)
  Remaining: 1500/1848 (268 total passed)
  Remaining: 1800/1848 (268 total passed)
  Remaining: 1848/1848 (268 total passed)

  Final: 268 stocks passed all filters

================================================================================
  268 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     CDNA    36.52  21.79  25.46       1.9              Healthcare                    Diagnostics & Research       43.60  81.2  Bull       0.36   57.08       1.04      83.6     NaN
2     MESO    18.91   3.19  27.48       2.4              Healthcare                             Biotechnology       25.21  77.7  Bull       0.50   37.49       0.47      78.9    4.33
3     CHRN    25.36 -12.55  24.68       3.7              Technology           Information Technology Services       34.19  58.9  Bull       0.55   32.57       0.39      78.3     NaN
4     DAVE   438.00  -0.97  12.27       5.6              Technology                    Software - Application       36.32  76.6  Bull       4.10   46.72       0.08      75.6    4.58
5     QDEL    18.56   1.81   6.42       1.3              Healthcare                           Medical Devices       19.91  65.2  Bull       0.10   31.44       0.07      75.6    3.25
6     MRVI     6.86  -3.38  14.91       2.5              Healthcare                             Biotechnology       29.34  73.1  Bull       0.05   36.93       0.07      75.6    4.25
7     ERAS    20.25  -4.77   5.60       6.9              Healthcare                             Biotechnology       28.14  66.5  Bull       0.18   51.38       0.06      75.5    4.40
8     TRAX    35.00  -4.37   8.02       1.2              Healthcare                             Biotechnology       60.54  74.7  Bull       1.77  104.20       0.05      75.4    4.62
9       LZ     7.93   1.60   9.92       1.4             Industrials               Specialty Business Services       20.91  73.9  Bull       0.14   32.08       0.04      75.4    3.56
10    XRAY    13.61   1.53  14.51       2.7              Healthcare            Medical Instruments & Supplies       20.44  75.5  Bull       0.23   30.29       0.04      75.3    3.11
11      RH   191.53   0.86  13.78       3.6       Consumer Cyclical                          Specialty Retail       23.00  72.0  Bull       2.29   30.37       0.03      75.2    3.40
12    BILL    44.77   1.75  10.49       4.5              Technology                    Software - Application       17.46  70.6  Bull       0.82   32.93       0.06      74.3    4.09
13    PYPL    55.56   0.47  22.59      49.0      Financial Services                           Credit Services       22.07  80.2  Bull       1.25   27.29       0.20      74.0    3.12
14    IOVA     4.86   3.55  11.14       2.2              Healthcare                             Biotechnology       19.85  63.6  Bull       0.04   27.14       0.22      73.9    4.40
15     PAY    29.57   1.97   4.60       3.7              Technology                 Software - Infrastructure       17.70  72.9  Bull       0.45   35.39       0.01      73.9    4.43
16    CNMD    44.29   5.38  20.71       1.3              Healthcare                           Medical Devices       21.23  71.5  Bull       1.18   28.12       0.03      73.4    2.86
17     UGP     6.13   0.82   5.51       6.6                  Energy            Oil & Gas Refining & Marketing       13.69  76.5  Bull       0.12   30.70       0.04      72.2    4.00
18    ANNX     6.18  -4.63   4.04       1.0              Healthcare                             Biotechnology       11.38  58.6  Bull       0.06   36.73       0.09      71.4    4.60
19    ACIW    57.51  -0.87   1.97       5.8              Technology                 Software - Infrastructure       19.00  76.7  Bull       0.31   26.40       0.02      71.1    4.50
20    PSNL    15.03  -5.29   2.60       1.6              Healthcare                    Diagnostics & Research       33.29  66.9  Bull       0.07   55.12       0.07      71.0    4.57
21    CHYM    22.10  -1.78   3.71       8.4              Technology                    Software - Application       12.07  66.1  Bull       0.18   29.62       0.03      70.9    4.42
22     DAO    14.65   1.17   3.39       1.8      Consumer Defensive             Education & Training Services       19.86  68.0  Bull       0.22   25.86       0.01      70.9     NaN
23     RHI    39.94   7.23  22.53       4.1             Industrials            Staffing & Employment Services       28.94  74.0  Bull       0.52   23.52       0.17      69.9    2.91
24    EVCM    11.53  -0.52  13.04       2.0              Technology                    Software - Application       12.53  68.7  Bull       0.24   27.97       0.05      69.7    3.56
25    GKOS   159.50  -0.29   2.86       9.4              Healthcare                           Medical Devices       17.10  73.0  Bull       0.92   25.07       0.02      68.8    4.77
26    RELY    25.04  -0.71   6.28       5.3              Technology                 Software - Infrastructure       15.90  69.7  Bull       0.17   22.99       0.28      68.3    4.80
27    PRGS    39.00  -2.45   1.30       1.6              Technology                 Software - Infrastructure       16.15  65.6  Bull       0.20   24.28       0.01      67.5    4.67
28     SAH   102.00  -0.96   7.02       3.2       Consumer Cyclical                  Auto & Truck Dealerships       22.45  75.0  Bull       1.40   21.94       0.01      67.1    3.83
29    ATHM    21.59  -1.86   5.32       2.5  Communication Services            Internet Content & Information       16.94  77.0  Bull       0.29   23.01       0.03      66.7    3.17
30    INSP    52.28   3.52   1.48       1.5              Healthcare                           Medical Devices       10.09  66.9  Bull       0.56   26.31       0.03      66.6    3.31
31    TBBK    69.29   1.38   4.13       2.9      Financial Services                          Banks - Regional       14.64  74.0  Bull       0.43   23.75       0.02      66.3    4.33
32    DFIN    49.72   2.20  10.42       1.2              Technology                    Software - Application       14.80  73.5  Bull       0.67   23.59       0.01      66.1    4.33
