=== Stock Screener — 2026-07-17 13:45 ===
Criteria: Above 50d EMA | Positive weekly gain | Market cap > $1B
Fetching universe...

  NASDAQ screener: 2780 stocks with market cap > $1B
  Top 5 by daily gain: CDNA(+35.6%), ATAI(+33.4%), MAN(+32.4%), MAAS(+26.4%), DSGR(+25.3%)
  S&P 500 loaded: 503 tickers
Screening 2780 stocks...
  Priority tier: 890 (top 500 movers + 390 S&P 500)
  Remaining: 1890

  === Priority Tier ===
  Priority: 300/890 (256 passed, 1 errors)
  Priority: 600/890 (374 passed, 166 errors)
  Priority: 890/890 (374 passed, 456 errors)

  Retrying 456 priority tickers...
  After priority retry: 374 passed

  === Remaining Tier ===
  Remaining: 300/1890 (374 total passed)
  Remaining: 600/1890 (374 total passed)
  Remaining: 900/1890 (374 total passed)
  Remaining: 1200/1890 (374 total passed)
  Remaining: 1500/1890 (374 total passed)
  Remaining: 1800/1890 (374 total passed)
  Remaining: 1890/1890 (374 total passed)

  Final: 374 stocks passed all filters

================================================================================
  374 stocks passed all filters
  Sorted by composite momentum (MACD 35 | ROC 30 | Volume 25 | EMA 10)
  Rating: 5=Strong Buy → 1=Strong Sell | Vol Ratio: >1 = above avg volume
================================================================================

    Ticker    Price   Day%  Week%  MCap($B)                  Sector                                  Industry  Above EMA%   RSI  MACD  MACD Hist  ROC20%  Vol Ratio  Momentum  Rating
1     ATAI     7.14   0.83  38.20       2.6              Healthcare                             Biotechnology       49.90  74.8  Bull       0.20   75.55       0.26      77.2    4.86
2     CDNA    39.38  -0.82  38.11       2.0              Healthcare                    Diagnostics & Research       50.73  80.6  Bull       0.93   67.70       0.20      76.7     NaN
3      MAN    53.92   3.70  39.31       2.5             Industrials            Staffing & Employment Services       53.34  81.3  Bull       1.41   57.26       0.17      76.4    3.58
4     KARO    62.30  -6.00   7.92       1.9              Technology                    Software - Application       19.93  71.7  Bull       0.92   34.44       0.14      76.1    4.67
5     TNET    61.74   2.10  11.16       2.8             Industrials            Staffing & Employment Services       25.21  78.2  Bull       0.65   36.25       0.12      76.0    3.43
6      NSP    50.03   1.12   9.94       1.9             Industrials            Staffing & Employment Services       28.46  72.2  Bull       0.39   34.36       0.06      75.5     NaN
7      CBZ    44.31   1.08  17.24       2.4             Industrials               Specialty Business Services       28.41  78.3  Bull       0.94   34.95       0.05      75.5    4.00
8     VSTS    16.72   2.98  15.07       2.2             Industrials                 Rental & Leasing Services       27.72  78.8  Bull       0.17   30.62       0.04      75.4     NaN
9     XRAY    14.06   1.96  14.68       2.8              Healthcare            Medical Instruments & Supplies       23.11  77.9  Bull       0.26   40.18       0.04      75.4    3.11
10      DK    62.91   4.11  13.33       3.9                  Energy            Oil & Gas Refining & Marketing       26.98  76.5  Bull       0.99   48.58       0.05      75.4    3.83
