Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
MRNA,174.38,176.97,173.88,69.6,Healthcare,Biotechnology,171.95,92.2,Bull,7.92,200.29,13.07,100.0,3.09
PURR,9.39,30.42,39.11,1.9,Financial Services,Capital Markets,30.09,73.8,Bull,0.27,37.08,6.18,100.0,
BULLW,3.25,12.85,19.05,1.7,,,35.52,74.0,Bull,0.06,45.74,9.88,100.0,
TEM,61.25,24.09,12.16,11.1,Healthcare,Health Information Services,19.65,65.7,Bull,1.08,30.43,4.01,99.8,3.81
IMNM,29.83,8.22,6.56,3.4,Healthcare,Biotechnology,25.71,75.6,Bull,0.34,33.62,2.64,97.0,4.79
PSNL,15.81,13.66,11.26,1.7,Healthcare,Diagnostics & Research,24.58,67.6,Bull,0.12,26.78,2.95,96.3,4.2
BNTX,113.12,21.96,21.98,28.4,Healthcare,Biotechnology,21.3,81.2,Bull,1.33,23.66,6.52,93.7,4.45
AUGO,85.0,11.49,10.65,7.1,Basic Materials,Gold,27.4,73.6,Bull,2.07,70.82,2.19,93.3,4.56
MTA,10.89,11.46,19.28,1.0,Basic Materials,Other Precious Metals & Mining,34.93,81.0,Bull,0.22,40.34,2.2,93.3,4.25
SANA,4.1,12.95,8.75,1.2,Healthcare,Biotechnology,19.04,67.8,Bull,0.05,31.41,2.25,93.3,4.56
TWST,142.39,22.64,13.72,9.4,N/A,N/A,46.16,70.8,Bull,1.95,51.72,2.14,92.8,
XNCR,27.52,8.3,18.72,2.0,Healthcare,Biotechnology,48.97,82.4,Bull,0.41,34.57,2.09,92.5,4.5
CRSP,59.81,12.91,10.78,5.8,N/A,N/A,14.22,70.2,Bull,0.77,26.61,2.63,90.7,
CADL,13.5,12.03,26.4,1.0,N/A,N/A,35.11,80.5,Bull,0.25,33.8,1.87,90.6,
ALMR,35.54,7.83,7.31,2.5,N/A,N/A,31.03,68.1,Bull,0.54,36.96,1.72,89.3,
DRD,27.83,14.53,15.19,2.4,Basic Materials,Gold,19.25,75.5,Bull,0.52,41.63,1.75,89.2,
SDGR,19.85,12.34,6.55,1.5,Healthcare,Health Information Services,22.77,72.5,Bull,0.18,32.07,1.66,88.8,4.43
ODTX,24.25,10.48,12.37,1.2,Healthcare,Biotechnology,27.19,69.9,Bull,0.25,30.31,1.58,88.2,4.8
WK,75.71,8.0,11.22,4.1,Technology,Software - Application,28.29,73.7,Bull,0.8,32.41,1.51,87.6,4.82
ELE,22.21,7.29,8.45,1.4,Basic Materials,Other Precious Metals & Mining,25.53,75.9,Bull,0.45,53.81,1.46,87.2,4.67
IOVA,7.99,13.66,18.55,3.6,Healthcare,Biotechnology,54.91,78.7,Bull,0.21,54.55,1.35,86.3,4.33
AU,108.54,10.81,10.85,54.9,Basic Materials,Gold,22.19,74.8,Bull,1.87,38.27,1.35,86.2,4.38
OMER,18.39,6.98,34.14,1.3,Healthcare,Biotechnology,47.07,84.0,Bull,0.53,86.89,1.29,85.8,3.67
TXG,62.19,11.79,7.69,8.1,Healthcare,Health Information Services,38.67,71.2,Bull,0.46,32.18,1.27,85.6,3.69
SSRM,35.38,11.64,8.9,7.2,Basic Materials,Gold,20.14,69.0,Bull,0.63,41.37,1.21,85.1,4.6
HYMC,27.9,15.34,1.64,2.6,Basic Materials,Gold,10.94,61.3,Bull,0.44,28.57,1.86,84.6,4.0
AZTA,35.62,8.0,6.23,1.6,Healthcare,Medical Instruments & Supplies,26.55,75.6,Bull,0.17,35.49,1.22,84.5,3.83
ABCL,12.01,8.0,15.98,3.5,Healthcare,Biotechnology,65.2,83.1,Bull,0.52,109.6,1.07,83.9,4.89
PPTA,25.82,8.53,2.18,3.2,Basic Materials,Other Precious Metals & Mining,14.1,65.9,Bull,0.45,51.7,1.39,83.6,4.71
HCC,105.05,7.48,8.61,5.5,Basic Materials,Coking Coal,18.56,75.3,Bull,1.85,33.24,1.01,82.7,4.14
MGTX,14.97,7.78,15.51,1.4,Healthcare,Biotechnology,23.12,73.2,Bull,0.18,20.34,2.03,82.3,4.71
CGEM,22.52,8.06,14.9,1.4,Healthcare,Biotechnology,27.19,78.6,Bull,0.41,27.59,1.1,81.8,4.91
PCOR,62.92,5.06,8.52,9.6,Technology,Software - Application,22.94,71.7,Bull,0.47,36.93,0.79,81.6,
VIA,26.38,5.44,5.31,2.2,Technology,Software - Application,30.75,73.5,Bull,0.28,41.9,0.74,81.2,4.6
SRPT,19.73,9.49,7.34,2.1,Healthcare,Biotechnology,13.12,68.8,Bull,0.33,24.72,1.65,80.0,3.33
ABSI,9.99,12.88,5.16,1.7,Healthcare,Biotechnology,19.33,62.6,Bull,0.14,21.24,1.69,80.0,4.6
